name,category,address,locality,lat,lng,price_min,price_max,schedule,description,images,tags,source,last_verified_at
El Cielo,Restaurantes,Calle 70 #4-47,Chapinero,4.6543108,-74.0591851,180000,355320,mar_mie=06:00-23:00;jue_sab=12:00-23:00;dom=12:00-17:00;lun=06:00-22:00,"Restaurante de alta cocina colombiana con técnicas de gastronomía molecular, menú de degustación de varios tiempos que cambia cada cuatro meses.",,alta_cocina|menu_degustacion,https://elcielo.com.co/bogota/,2026-08-12
Abasto,Restaurantes,Calle 118 #5-41,Usaquén,4.6998722,-74.0518378,40000,80000,lun=07:00-16:00;mar_vie=07:00-21:00;sab=08:00-21:00;dom=08:00-16:30,"Restaurante de cocina colombiana e internacional en Usaquén, popular para brunch, con productos de mercado y ambiente familiar.",,pet_friendly|brunch,https://abasto.com.co/,2026-08-12
Mesa Franca,Restaurantes,Calle 61 #5-56,Chapinero,4.647962,-74.0640407,60000,120000,"mar=19:00-22:00;mie=12:00-16:00,19:00-22:00;jue_vie=12:00-16:00,19:00-23:00;sab=13:00-23:00;dom=13:00-17:00","Restaurante de autor en Chapinero Alto con cocina colombiana de granja a mesa, dirigido por el chef Iván Cadena. Cerrado los lunes.",,farm_to_table|cocina_de_autor,https://www.restaurantemesafranca.com/,2026-08-12
Central Cevichería (Zona T),Restaurantes,Carrera 13 #85-14,Zona Rosa,4.6692281,-74.0535095,50000,80000,lun_mie=12:00-21:30;jue_sab=12:00-22:00;dom=12:00-21:00,Cadena de cevichería y mariscos con varias sedes en Bogotá; esta reseña corresponde específicamente a la sede de la Zona T (Carrera 13 #85-14).,,mariscos|ceviche,https://takami.co/central-cevicheria/,2026-08-12
Crepes & Waffles (Zona T),Restaurantes,Carrera 12A #83-40,Zona Rosa,4.6677619,-74.0537632,15000,35000,lun_vie=11:45-22:00;sab=11:45-22:30;dom=08:00-20:00,"Cadena colombiana reconocida de crepes y postres, sede específica en la Zona T, popular para brunch y comidas familiares.",,brunch|postres,https://www.crepesywaffles.com/ubicaciones,2026-08-12
Apache Rooftop Bar,Bares y Rooftops,Carrera 11 #93-77,Zona Rosa,4.6753543,-74.0474642,30000,70000,lun_mie=12:00-24:00;jue=12:00-01:00;vie_sab=13:00-02:00,"Rooftop de hamburguesas y cocteles en el Hotel Click Clack, con vista panorámica de 360 grados de Bogotá. DJs en vivo de miércoles a sábado.",,rooftop|vista_panoramica,https://www.clickclackhotel.com/en/hotel-clickclackbogota-in-bogota/restaurants/apache/,2026-08-12
Bogotá Beer Company (Parque 93),Bares y Rooftops,Carrera 11A #93A-94,Zona Rosa,4.676768,-74.0482874,30000,50000,lun_jue=12:30-23:00;vie_sab=12:30-01:00;dom=12:30-22:00,"Cervecería artesanal colombiana pionera del sector, sede Parque 93, con más de 20 estilos de cerveza propia.",,cerveza_artesanal,https://direccion.com.co/lugar/bogota/bogota-beer-company-bbc-parque-de-la-93/,2026-08-12
Metrónomo Bar,Bares y Rooftops,Calle 67 #5-20,Chapinero,4.6510177,-74.0586775,38000,60000,mar_mie=15:30-23:00;jue_sab=15:30-01:00,"Bar de coctelería de autor en Chapinero con ambiente romántico, cócteles clásicos y creaciones con sabores locales. Cerrado domingo y lunes.",,coctelería,https://www.degusta.com.co/bogota/restaurante/metronomo-bar_107717.html,2026-08-12
Café San Alberto (Usaquén),Cafés,Calle 117 #6A-47,Usaquén,4.6938655,-74.0305743,13000,30000,lun_dom=08:30-20:00,"Café de especialidad premiado internacionalmente, tienda insignia de Usaquén de una finca cafetera familiar desde 1972.",,cafe_especialidad,https://cafesanalbertoint.com/sucursal/usaquen-bogota/,2026-08-12
Varietale (Candelaria),Cafés,Calle 12 #1-20,Candelaria,4.5983612,-74.0734472,7600,16800,lun_dom=00:00-23:59,"Café de especialidad abierto 24 horas en La Candelaria, popular entre estudiantes universitarios, con métodos de preparación como sifón y cold brew.",,cafe_especialidad|24_horas,https://varietale.com/,2026-08-12
Museo del Oro,Cultura y Museos,Carrera 6 #15-88,Candelaria,4.6005881,-74.0726955,0,8000,mar_sab=09:00-17:00;dom=10:00-17:00,Museo del Banco de la República con la mayor colección de orfebrería prehispánica del mundo. Entrada gratuita los domingos. Cerrado los lunes.,,museo|entrada_gratis_domingo,https://www.banrepcultural.org/bogota/museo-del-oro/programa-tu-visita,2026-08-12
Museo Nacional de Colombia,Cultura y Museos,Carrera 7 #28-66,Candelaria,4.5911354,-74.0793541,0,3000,mar_dom=09:00-17:00,"El museo más antiguo de Colombia, con colecciones de arte, historia y arqueología nacional. Gratis domingos y miércoles de 3 a 5pm.",,museo,https://bogota.gov.co/mi-ciudad/cultura-recreacion-y-deporte/horarios-y-precios-de-entrada-los-museos-de-bogota-foto,2026-08-12
Museo Botero,Cultura y Museos,Calle 11 #4-41,Candelaria,4.5966918,-74.0730851,0,0,lun_sab=09:00-19:00;dom=10:00-17:00,"Museo con la colección donada por Fernando Botero, incluyendo obra propia y de artistas internacionales. Entrada completamente gratuita. Cerrado martes.",,museo|entrada_gratis,https://bogota.gov.co/mi-ciudad/cultura-recreacion-y-deporte/horarios-y-precios-de-entrada-los-museos-de-bogota-foto,2026-08-12
Museo de Arte Moderno de Bogotá (MAMBO),Cultura y Museos,Calle 24 #6-00,Candelaria,4.6213776,-74.0803611,8000,12000,mar_sab=09:00-17:00;dom=12:00-17:00,"Museo de arte moderno y contemporáneo colombiano e internacional, con exposiciones temporales. 2x1 los martes. Cerrado lunes.",,museo|arte_contemporaneo,https://bogota.gov.co/mi-ciudad/cultura-recreacion-y-deporte/horarios-y-precios-de-entrada-los-museos-de-bogota-foto,2026-08-12
Museo de Bogotá,Cultura y Museos,Calle 10 #3-61,Candelaria,4.5953781,-74.0728977,0,0,mar_vie=09:00-17:00;sab_dom=10:00-17:00,"Museo dedicado a la historia y transformación urbana de Bogotá, entrada gratuita. Cerrado lunes.",,museo|entrada_gratis,https://bogota.gov.co/mi-ciudad/cultura-recreacion-y-deporte/horarios-y-precios-de-entrada-los-museos-de-bogota-foto,2026-08-12
Museo de la Independencia - Casa del Florero,Cultura y Museos,Carrera 7 #11-28,Candelaria,4.5926402,-74.0785297,0,3000,mar_dom=09:00-17:00,Casa museo donde ocurrió el Grito de Independencia del 20 de julio de 1810. Gratis domingos y miércoles de 3 a 5pm. Cerrado lunes.,,museo|historia,https://bogota.gov.co/mi-ciudad/cultura-recreacion-y-deporte/horarios-y-precios-de-entrada-los-museos-de-bogota-foto,2026-08-12
Parque Metropolitano Simón Bolívar,Aire Libre y Parques,Avenida Carrera 68 #63-13,Teusaquillo,4.656248,-74.1012032,0,0,lun_dom=06:00-18:00,"El parque metropolitano más grande de Bogotá, 113 hectáreas de zonas verdes, lagos y espacios para deporte y recreación. Entrada libre.",,parque|entrada_gratis,https://bogota.gov.co/mi-ciudad/cultura-recreacion-y-deporte/parque-simon-bolivar-conoce-sus-horarios-el-plan-perfecto-en-bogota,2026-08-12
Parque Nacional Enrique Olaya Herrera,Aire Libre y Parques,Carrera 7 con Calle 39,Chapinero,4.6221748,-74.0629696,0,0,lun_sab=04:00-23:00;dom=05:00-22:00,"Parque histórico en el límite entre Chapinero y el centro de Bogotá, con zonas verdes, canchas deportivas y senderos. Entrada libre.",,parque|entrada_gratis,https://www.idrd.gov.co/parques-y-escenarios,2026-08-12
Parque de Usaquén,Aire Libre y Parques,Carrera 6A #119B-05,Usaquén,4.6953039,-74.0312487,0,0,lun_sab=04:00-23:00;dom=05:00-22:00,"Parque principal del tradicional barrio de Usaquén, junto al mercado de pulgas de los domingos. Entrada libre.",,parque|entrada_gratis,https://www.tripadvisor.com/Attraction_Review-g294074-d7729122-Reviews-Parque_de_Usaquen-Bogota.html,2026-08-12
Parque Recreodeportivo El Salitre,Aire Libre y Parques,Carrera 60 #63-75,Barrios Unidos,4.6746301,-74.0783119,0,0,lun_dom=06:00-18:00,"Parque deportivo administrado por el IDRD, junto al Parque Salitre Mágico y el Museo de los Niños, con instalaciones para varios deportes. Entrada libre.",,parque|deporte|entrada_gratis,https://www.idrd.gov.co/parques-y-escenarios/parque-deportivo-el-salitre,2026-08-12
Theatron,Vida Nocturna,Calle 58 Bis #10-32,Chapinero,4.644768,-74.0636913,20000,55000,jue_sab=21:00-03:00,"La discoteca LGBT+ más grande de Latinoamérica, con 20 ambientes musicales distintos bajo un mismo techo.",,lgbt|discoteca,https://en.wikipedia.org/wiki/Theatron_(club),2026-08-12
Scape Games (Galerías),Planes con Amigos,Transversal 24 #53C-56,Teusaquillo,4.6425588,-74.0728283,35000,50000,lun_vie=14:00-21:00;sab=11:00-21:00;dom=11:00-19:00,"Escape room con 4 salas temáticas (hospital psiquiátrico, invasión zombie, campamento nazi, naufragio del Titanic), 60 minutos por partida.",,escape_room,https://worldofescapes.co/bogota,2026-08-12
Cantores Lounge,Planes con Amigos,Calle 45 #7-16,Chapinero,4.6316817,-74.0646931,12000,25000,lun_mie=16:00-01:00;jue_sab=16:00-03:00,"Bar de karaoke con salas privadas para grupos en Chapinero, sistema de karaoke con TV y micrófonos, ambiente informal.",,karaoke,https://www.eltiempo.com/bogota/los-cinco-mejores-lugares-para-cantar-karaoke-en-bogota-635662,2026-08-12
Relier: Juegos de Mesa,Planes con Amigos,Carrera 13 #118A-32,Usaquén,4.7489109,-74.034758,10000,20000,mar_dom=13:00-21:00,Café de juegos de mesa con una amplia colección para jugar en el lugar mientras se consume algo. Cerrado lunes.,,juegos_de_mesa,https://relier.com.co/nuestro-cafe-en-bogota,2026-08-12
Momentino Wine Bar,Planes en Pareja,Calle 61 #5-30,Chapinero,4.645909,-74.0598273,11000,58000,lun_mar=16:00-22:00;mie=16:00-23:00;jue_sab=16:00-24:00,"Vinoteca con más de 260 referencias de vino de 17 países, tapas para compartir, en Chapinero Alto. Cerrado domingos.",,vinoteca|tapas,https://www.momentino.co/,2026-08-12
Presence Spa (Hotel Marriott Bogotá),Planes en Pareja,Avenida El Dorado #69B-53,Salitre,4.6627647,-74.1096806,180000,1190000,lun_dom=08:00-20:00,"Spa del Hotel Marriott con tratamientos en pareja, masajes, hidroterapia y aromaterapia.",,spa|masajes,https://theplacetobe.lat/spas/spa-marriott-bogota/,2026-08-12
